n_jobs  threads(s)  process(s)
-----------------------------------
   1      0.6694      0.6567
   2      0.4838      0.3539
   3      0.4852      0.2334
   4      0.4846      0.2033
   5      0.4863      0.1607
   6      0.4857      0.1574
   7      0.4862      0.1560
   8      0.4871      0.1532
   9      0.4898      0.1584
  10      0.4887      0.1573
  11      0.4895      0.1564
  12      0.4866      0.1633
  13      0.4884      0.1691
  14      0.4906      0.1764
  15      0.4877      0.1845
  16      0.4895      0.1901
  17      0.4898      0.1986
  18      0.4890      0.1988
  19      0.4901      0.2068
  20      0.4915      0.2219
  21      0.4905      0.2148
  22      0.4919      0.2219
  23      0.4917      0.2323
  24      0.4927      0.2784
